Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
2349.25,35.92176942686479,,,35.92176942686479,
2349.5,36.83502396343744,,,36.83502396343744,
2349.75,36.14730250465692,,,36.14730250465692,
2350.0,36.48680031608864,,,36.48680031608864,
2350.25,35.95168235354672,,,35.95168235354672,
2350.5,36.06355302012191,,,36.06355302012191,
2350.75,36.36225844665713,,,36.36225844665713,
2351.0,36.298162353011975,,,36.298162353011975,
2351.25,36.79695216491177,,,36.79695216491177,
2351.5,36.59870936826025,,,36.59870936826025,
2351.75,36.075725611838976,,,36.075725611838976,
2352.0,35.77165561887559,,,35.77165561887559,
2352.25,36.41885616259752,,,36.41885616259752,
2352.5,36.324039029134525,,,36.324039029134525,
2352.75,36.12215573673461,,,36.12215573673461,
2353.0,37.18626111909984,,,37.18626111909984,
2353.25,37.452280751768164,,,37.452280751768164,
2353.5,36.5950128372436,,,36.5950128372436,
2353.75,36.237099311092216,,,36.237099311092216,
2354.0,36.760125854797806,,,36.760125854797806,
2354.25,37.025820071330905,,,37.025820071330905,
2354.5,36.94277971672337,,,36.94277971672337,
2354.75,36.7605912971196,,,36.7605912971196,
2355.0,36.54910974647498,,,36.54910974647498,
2355.25,36.33681435361637,,,36.33681435361637,
2355.5,36.41172761491308,,,36.41172761491308,
2355.75,36.056507824713876,,,36.056507824713876,
2356.0,36.49743169888442,,,36.49743169888442,
2356.25,35.83130311305761,,,35.83130311305761,
2356.5,35.79689206285091,,,35.79689206285091,
2356.75,36.597893985199676,,,36.597893985199676,
2357.0,36.140072229155685,,,36.140072229155685,
2357.25,35.914097832263145,,,35.914097832263145,
2357.5,35.43522078447187,,,35.43522078447187,
2357.75,35.29680017765359,,,35.29680017765359,
2358.0,35.62554616695225,,,35.62554616695225,
2358.25,35.019403309137644,,,35.019403309137644,
2358.5,34.715249697632856,,,34.715249697632856,
2358.75,35.66405574600399,,,35.66405574600399,
2359.0,35.433806111368376,,,35.433806111368376,
2359.25,35.56130681010108,,,35.56130681010108,
2359.5,35.28702801896394,,,35.28702801896394,
2359.75,35.24590664342904,,,35.24590664342904,
2360.0,35.90775115234583,,,35.90775115234583,
2360.25,35.14608311849898,,,35.14608311849898,
2360.5,34.84944800005669,,,34.84944800005669,
2360.75,35.41177062874958,,,35.41177062874958,
2361.0,35.12087793383801,,,35.12087793383801,
2361.25,34.792956090185506,,,34.792956090185506,
2361.5,35.18692384395997,,,35.18692384395997,
2361.75,34.81089166505677,,,34.81089166505677,
2362.0,35.631251227790216,,,35.631251227790216,
2362.25,35.66509454090536,,,35.66509454090536,
2362.5,35.61250860395397,,,35.61250860395397,
2362.75,35.96640382525607,,,35.96640382525607,
2363.0,35.969181426133034,,,35.969181426133034,
2363.25,35.41071313948216,,,35.41071313948216,
2363.5,35.82035548201509,,,35.82035548201509,
2363.75,35.66708901764945,,,35.66708901764945,
2364.0,35.49903911939831,,,35.49903911939831,
2364.25,35.33973356596336,,,35.33973356596336,
2364.5,36.12248148175727,,,36.12248148175727,
2364.75,35.80076957975467,,,35.80076957975467,
2365.0,36.11484774301465,,,36.11484774301465,
2365.25,36.05489894032626,,,36.05489894032626,
2365.5,35.61952658060842,,,35.61952658060842,
2365.75,36.21550552349473,,,36.21550552349473,
2366.0,35.76198902257927,,,35.76198902257927,
2366.25,36.042086494495386,,,36.042086494495386,
2366.5,35.92090617332925,,,35.92090617332925,
2366.75,35.99339896470233,,,35.99339896470233,
2367.0,35.87905181289115,,,35.87905181289115,
2367.25,35.58105093091622,,,35.58105093091622,
2367.5,35.93167313518338,,,35.93167313518338,
2367.75,36.2352190983493,,,36.2352190983493,
2368.0,36.034966746533385,,,36.034966746533385,
2368.25,36.20902328801896,,,36.20902328801896,
2368.5,35.94275201918026,,,35.94275201918026,
2368.75,36.64760398640326,,,36.64760398640326,
2369.0,36.99620749932233,,,36.99620749932233,
2369.25,36.154358508363416,,,36.154358508363416,
2369.5,37.0337179660053,,,37.0337179660053,
2369.75,37.050101979734805,,,37.050101979734805,
2370.0,36.86595325863047,,,36.86595325863047,
2370.25,36.71364883400173,,,36.71364883400173,
2370.5,36.813915975753446,,,36.813915975753446,
2370.75,36.66283445679144,,,36.66283445679144,
2371.0,36.55902011488088,,,36.55902011488088,
2371.25,36.114985982714224,,,36.114985982714224,
2371.5,36.45597776623259,,,36.45597776623259,
2371.75,36.908027600244814,,,36.908027600244814,
2372.0,36.715524381135936,,,36.715524381135936,
2372.25,36.59651177907185,,,36.59651177907185,
2372.5,36.5177947424283,,,36.5177947424283,
2372.75,36.45888929490166,,,36.45888929490166,
2373.0,36.97152674167939,,,36.97152674167939,
2373.25,36.202644788163184,,,36.202644788163184,
2373.5,36.24019053482671,,,36.24019053482671,
2373.75,36.201115034889966,,,36.201115034889966,
2374.0,36.29898031187673,,,36.29898031187673,
2374.25,36.5513133984985,,,36.5513133984985,
2374.5,35.94712853985224,,,35.94712853985224,
2374.75,36.30816976957205,,,36.30816976957205,
2375.0,35.73187700219154,,,35.73187700219154,
2375.25,35.752527054934276,,,35.752527054934276,
2375.5,35.73171498500826,,,35.73171498500826,
2375.75,35.770098940085255,,,35.770098940085255,
2376.0,35.350759099884485,,,35.350759099884485,
2376.25,35.13189613013565,,,35.13189613013565,
2376.5,34.93356088975403,,,34.93356088975403,
2376.75,35.11259643283508,,,35.11259643283508,
2377.0,34.61378950981609,,,34.61378950981609,
2377.25,34.57288788005278,,,34.57288788005278,
2377.5,35.356086356221304,,,35.356086356221304,
2377.75,35.306064297782505,,,35.306064297782505,
2378.0,35.37360029841874,,,35.37360029841874,
2378.25,35.269926184001896,,,35.269926184001896,
2378.5,34.77538243181131,,,34.77538243181131,
2378.75,34.80492171072727,,,34.80492171072727,
2379.0,34.58632649443323,,,34.58632649443323,
2379.25,34.226692089207376,,,34.226692089207376,
2379.5,34.32120889576739,,,34.32120889576739,
2379.75,34.64948769010668,,,34.64948769010668,
2380.0,34.54585060958586,,,34.54585060958586,
